dir;backbone;use_kd;T;use_refinement;entropt_thr;model_size_mb;macs;params;inference_time_ms;throughput_fps;ram_mb;GLOPS;cpu_core
timm-efficientnet-b3_unet/refinement_thr-1,0_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;1,0;146,96753025054932;4003157056;12484523;85,93567609786987;11,636610606997802;1171,44140625;93,16635971865539;1
timm-efficientnet-b3_unet/refinement_thr-adaptive_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;adaptive;146,96753025054932;4003157056;12484523;86,47118806838989;11,564545628875852;1171,44140625;92,58938486733665;1
timm-efficientnet-b3_unet/refinement_thr-adaptive_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;adaptive;146,96759128570557;4003157056;12484523;86,48468255996704;11,56274117450355;1171,44140625;92,57493783883122;1
timm-efficientnet-b5_unet/imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;False;;350,66991329193115;5967162176;29997299;133,3316683769226;7,500093654967588;1158,3828125;89,5085503487604;1
timm-efficientnet-b5_unet/imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;False;;350,6699743270874;5967162176;29997299;130,19057512283325;7,681047564745082;1232,16796875;91,66811300080754;1
timm-efficientnet-b5_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;0,05;350,6699743270874;5967162176;29997299;133,7632417678833;7,475895371430069;1276,3828125;89,21976018426196;1
timm-efficientnet-b5_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;True;0,05;350,6699743270874;5967162176;29997299;134,84046459197998;7,416171421731202;1304,37109375;88,50699519697315;1
timm-efficientnet-b5_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;0,15;350,6699743270874;5967162176;29997299;130,7138204574585;7,650300454078269;1225,13671875;91,30116700922295;1
timm-efficientnet-b5_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;True;0,15;350,6699743270874;5967162176;29997299;134,26363468170166;7,448033135485246;1225,13671875;88,88724322332449;1
timm-efficientnet-b5_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;0,25;350,6699743270874;5967162176;29997299;130,40562868118286;7,668380652838316;1309,33984375;91,51694196557398;1
timm-efficientnet-b5_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;True;0,25;350,6699743270874;5967162176;29997299;133,27405452728271;7,50333591595871;1323,15625;89,54724454306228;1
timm-efficientnet-b5_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;0,35;350,6699743270874;5967162176;29997299;130,2342414855957;7,678472178997587;1320,22265625;91,63737751196543;1
timm-efficientnet-b5_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;True;0,35;350,6699743270874;5967162176;29997299;129,55025434494019;7,719012247844782;1320,22265625;92,12119584284025;1
timm-efficientnet-b5_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;0,45;350,6699743270874;5967162176;29997299;134,25530195236206;7,448495407316062;1317,28125;88,89276012529226;1
timm-efficientnet-b5_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;True;0,45;350,6699743270874;5967162176;29997299;135,323166847229;7,389717690607511;1331,3359375;88,19128778942242;1
timm-efficientnet-b5_unet/refinement_thr-1,0_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;1,0;350,6699743270874;5967162176;29997299;130,85200786590576;7,642221287309384;1291,56640625;91,20474761250918;1
timm-efficientnet-b5_unet/refinement_thr-1,0_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;True;1,0;350,67003536224365;5967162176;29997299;130,928373336792;7,637763874356418;1291,56640625;91,15155140055768;1
timm-efficientnet-b5_unet/refinement_thr-adaptive_imagenet_dropout-0,5_lr-0,001_256x256;b5;False;;True;adaptive;350,6699743270874;5967162176;29997299;133,89686346054077;7,468434839735425;1305,3515625;89,13072377917972;1
timm-efficientnet-b5_unet/refinement_thr-adaptive_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b5;True;2,0;True;adaptive;350,67003536224365;5967162176;29997299;134,22486782073975;7,450184278337468;1319,4921875;88,91291565985041;1
timm-efficientnet-b7_unet/imagenet_dropout-0,5_lr-0,001_256x256;b7;False;;False;;757,5920314788818;9818342400;65148819;212,67507076263428;4,702008544838317;1457,9609375;92,33185972189669;1
timm-efficientnet-b7_unet/imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b7;True;2,0;False;;757,5920314788818;9818342400;65148819;213,41928243637085;4,6856122304606735;1561,28515625;92,0098904645812;1
timm-efficientnet-b7_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_256x256;b7;False;;True;0,05;757,5920314788818;9818342400;65148819;215,37383794784546;4,643089474229262;1965,21484375;91,17488450363774;1
timm-efficientnet-b7_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b7;True;2,0;True;0,05;757,5920925140381;9818342400;65148819;213,45654726028442;4,684794225499305;1895,1484375;91,99382755898998;1
timm-efficientnet-b7_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_256x256;b7;False;;True;0,15;757,5920314788818;9818342400;65148819;212,28586435317993;4,710629240655893;1895,15234375;92,50114160842313;1
timm-efficientnet-b7_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b7;True;2,0;True;0,15;757,5920925140381;9818342400;65148819;214,21546936035156;4,668196946681791;1895,15234375;91,66791202631275;1
timm-efficientnet-b7_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_256x256;b7;False;;True;0,25;757,5920314788818;9818342400;65148819;212,7608299255371;4,7001132696746115;1895,15234375;92,29464280089773;1
timm-efficientnet-b7_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b7;True;2,0;True;0,25;757,5920925140381;9818342400;65148819;213,8145089149475;4,676951087532541;1895,984375;91,83981433089373;1
timm-efficientnet-b7_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_256x256;b7;False;;True;0,35;757,5920314788818;9818342400;65148819;214,0121579170227;4,672631731453884;1896,03125;91,75499649703818;1
timm-efficientnet-b7_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b7;True;2,0;True;0,35;757,5920925140381;9818342400;65148819;211,60305738449097;4,72582963762646;1896,03125;92,79962701256902;1
timm-efficientnet-b7_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_256x256;b7;False;;True;0,45;757,5920314788818;9818342400;65148819;213,83390426635742;4,6765268745894115;1974,03515625;91,83148419504141;1
timm-efficientnet-b7_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b7;True;2,0;True;0,45;757,5920925140381;9818342400;65148819;213,35748434066772;4,686969398286028;1912,16015625;92,0365407413884;1
timm-efficientnet-b7_unet/refinement_thr-1,0_imagenet_dropout-0,5_lr-0,001_256x256;b7;False;;True;1,0;757,5920314788818;9818342400;65148819;214,43607807159424;4,663394373712281;1912,16015625;91,57360541468147;1
timm-efficientnet-b7_unet/refinement_thr-1,0_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b7;True;2,0;True;1,0;757,5920925140381;9818342400;65148819;213,28425407409668;4,688578649845346;1912,16015625;92,06814110702263;1
timm-efficientnet-b7_unet/refinement_thr-adaptive_imagenet_dropout-0,5_lr-0,001_256x256;b7;False;;True;adaptive;757,5920925140381;9818342400;65148819;213,18424940109253;4,690778060805814;1912,16015625;92,11133024679903;1
timm-efficientnet-b7_unet/refinement_thr-adaptive_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b7;True;2,0;True;adaptive;757,5920925140381;9818342400;65148819;213,22016716003418;4,689987881162487;1912,16015625;92,09581373820762;1
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_256x256;b0;False;;False;;68,94533157348633;3143944704;5802463;40,759992599487305;24,53386117672108;910,09765625;154,26620583044686;2
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_kd_T1,0_w-0,001_256x256;b0;True;1,0;False;;68,94539260864258;3143944704;5802463;39,28903341293335;25,45239506123394;930,56640625;160,04184531376438;2
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_kd_T1,5_w-0,001_256x256;b0;True;1,5;False;;68,94539260864258;3143944704;5802463;36,220479011535645;27,60869064380722;955,0625;173,60039346794412;2
timm-efficientnet-b0_unet/imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b0;True;2,0;False;;68,94539260864258;3143944704;5802463;36,01001501083374;27,77005229515029;953,3828125;174,6150176862816;2
